Frequency_Ch1,Ch1,Frequency_Ch2,Ch2
102.272727272727,107.7006887521226,102.272727272727,108.3317977076372
107.954545454545,106.9428587030455,107.954545454545,107.5952604459307
113.636363636364,106.1238248309146,113.636363636364,106.793929535632
119.318181818182,104.7817283352103,119.318181818182,105.5265458677258
125.0,103.6615328527566,125.0,104.4609658681355
130.681818181818,102.958108186273,130.681818181818,103.8160187654427
136.363636363636,102.0774886760899,136.363636363636,103.0174903216007
142.045454545455,100.5673517502952,142.045454545455,101.6347648126112
147.727272727273,99.2003239741854,147.727272727273,100.3955463015366
153.409090909091,99.17037200438,153.409090909091,100.3234231865889
159.090909090909,99.4596655764283,159.090909090909,100.5382971822179
164.772727272727,98.9632034930662,164.772727272727,100.069848512157
170.454545454545,97.5882560867268,170.454545454545,98.8376035895432
176.136363636364,96.7110915314224,176.136363636364,98.0344056303785
181.818181818182,96.7231064169069,181.818181818182,98.0219495242493
187.5,96.7433945986365,187.5,97.9998912155867
193.181818181818,96.066228883332,193.181818181818,97.3833176231803
198.863636363636,95.6662612723571,198.863636363636,96.9929667560989
204.545454545455,95.970912207787,204.545454545455,97.1844164371773
210.227272727273,96.3189189331874,210.227272727273,97.3760847310935
215.909090909091,95.8149988913034,215.909090909091,96.8495009748516
221.590909090909,95.0264407287885,221.590909090909,96.0537658500501
227.272727272727,94.8306048564428,227.272727272727,95.8131142729257
232.954545454545,95.054761642619,232.954545454545,95.8302223264813
238.636363636364,94.8040228130547,238.636363636364,95.283646073716
244.318181818182,94.0706402289188,244.318181818182,94.3722156819353
250.0,93.9403148209688,250.0,94.5083337372764
255.681818181818,96.2653882089814,255.681818181818,97.7875663837408
261.363636363636,97.8429949922092,261.363636363636,99.2550571681809
267.045454545455,98.0136292872364,267.045454545455,98.7036119021257
272.727272727273,98.0661070437263,272.727272727273,98.3762005951782
278.409090909091,98.1717647282509,278.409090909091,98.3265142102374
284.090909090909,98.1514114206251,284.090909090909,98.0661767859368
289.772727272727,97.7924661063469,289.772727272727,97.497439289497
295.454545454545,97.4583668672168,295.454545454545,96.896331924831
301.136363636364,97.3409162949289,301.136363636364,96.4571669882024
306.818181818182,97.4205471863324,306.818181818182,96.5025582133837
312.5,97.5526131631584,312.5,97.2629573449129
318.181818181818,97.7880348730536,318.181818181818,98.1912630884858
323.863636363636,97.9627456510607,323.863636363636,98.5979491319222
329.545454545455,98.0456341914709,329.545454545455,98.7562331633033
335.227272727273,97.9830365203622,335.227272727273,98.9262326069344
340.909090909091,97.8719727632435,340.909090909091,99.6266870660768
346.590909090909,97.8363140733415,346.590909090909,100.7020283921124
352.272727272727,97.7435546274866,352.272727272727,101.520805236045
357.954545454545,97.4458950375546,357.954545454545,101.6981916083058
363.636363636364,97.1101522656285,363.636363636364,101.5692890527192
369.318181818182,96.9087481158137,369.318181818182,101.391742350786
375.0,97.2382674159334,375.0,101.1862242587478
380.681818181818,97.9558236819167,380.681818181818,100.8911591596006
386.363636363636,98.4125349300039,386.363636363636,100.6389264212713
392.045454545455,98.7781211123756,392.045454545455,100.4849689070457
397.727272727273,99.1979728891348,397.727272727273,100.4029664757255
403.409090909091,91.5401744837593,403.409090909091,92.3224327102921
409.090909090909,91.8517162420284,409.090909090909,92.2360777852736
414.772727272727,91.8558325585939,414.772727272727,92.1816081052655
420.454545454545,91.7580542414465,420.454545454545,92.1300915850209
426.136363636364,91.653999550182,426.136363636364,92.0716864769163
431.818181818182,91.5616113710977,431.818181818182,92.0286430199677
437.5,91.4706840084455,437.5,91.9961604828048
443.181818181818,91.3902704704772,443.181818181818,91.9544641597338
448.863636363636,91.2852413141939,448.863636363636,91.8939486849331
454.545454545455,91.1967592635651,454.545454545455,91.8385152370294
460.227272727273,91.1353788771032,460.227272727273,91.8041665704361
465.909090909091,91.0860645119839,465.909090909091,91.7828435012205
471.590909090909,91.0290261626708,471.590909090909,91.7443872418072
477.272727272727,90.9678830986937,477.272727272727,91.7117001731279
482.954545454545,90.9080428548636,482.954545454545,91.6526660098072
488.636363636364,90.8441410861824,488.636363636364,91.5952063543677
494.318181818182,90.792155474074,494.318181818182,91.5562323483322
500.0,90.7559504524696,500.0,91.5218105387678
505.681818181818,90.7275821542738,505.681818181818,91.4888815274347
511.363636363636,90.6810946449062,511.363636363636,91.432642443314
517.045454545455,90.6278734465918,517.045454545455,91.3637007222364
522.727272727273,90.5714637470725,522.727272727273,91.3003864808704
528.409090909091,90.5388350786214,528.409090909091,91.2521955631501
534.090909090909,90.5098422814336,534.090909090909,91.2413283660209
539.772727272727,90.4805711544896,539.772727272727,91.2672502288179
545.454545454545,90.4297560960817,545.454545454545,91.3365035791049
551.136363636364,90.3647310951066,551.136363636364,91.3946047634356
556.818181818182,90.3022737590121,556.818181818182,91.4000498770561
562.5,90.2587867985858,562.5,91.3810072783033
568.181818181818,90.2289995726363,568.181818181818,91.3508774506819
573.863636363636,90.2038873042306,573.863636363636,91.3166700655598
579.545454545455,90.1530128785756,579.545454545455,91.2707902218608
585.227272727273,90.0988197016627,585.227272727273,91.2148688445867
590.909090909091,90.0520863381401,590.909090909091,91.1578536906155
596.590909090909,90.0128466714369,596.590909090909,91.121278099404
602.272727272727,89.9939236680202,602.272727272727,91.0960710806145
607.954545454545,89.9778145711502,607.954545454545,91.081495807095
613.636363636364,89.9670358094028,613.636363636364,91.0665617178384
619.318181818182,89.961338230073,619.318181818182,91.0564177420577
625.0,89.9689703317977,625.0,91.0531686398263
630.681818181818,89.9930199505619,630.681818181818,91.0686712358939
636.363636363636,90.0314167877964,636.363636363636,91.0869407670715
642.045454545455,90.0545472311441,642.045454545455,91.0790670867348
647.727272727273,90.0547096828908,647.727272727273,91.0526341644907
